"","ID","utm_n","place","utm_e"
"1",254,5335317.65917761,"Elsenheim",388554.850019308
"2",257,5335939.85465293,"Marckolsheim",391878.325066051
"3",866,5368782.26412204,"Oberehnheim (Obernai)",388007.695177745
"4",867,5358335.38412454,"Bernhardsweiler ( Bernardvillé)",381506.236920954
"5",871,5363900.83045917,"Heiligenstein",385451.500776734
"6",872,5364012.46925444,"Burgheim (Bourgheim)",388325.566876364
"7",873,5365524.44639043,"Goxweiler (Goxwiller)",387887.722120024
"8",876,5372462.47416866,"Innenheim",394614.261955274
"9",878,5370215.9234711,"Krautergersheim",393987.587898601
"10",879,5367183.87848546,"Meistratzheim",392333.006771399
"11",880,5367722.52077575,"Niederehnheim (Niedernai)",390396.518322012
"12",881,5364208.07097061,"Walf (Valff))",390552.722066363
"13",882,5363931.01600115,"Bolsenheim",397150.708827703
"14",883,5364863.52330367,"Schäfersheim (Schaeffersheim)",397907.60911768
"15",884,5363968.94601663,"Erstein",401077.514415342
"16",885,5367720.13694051,"Limersheim",399886.478890323
"17",890,5369065.16376966,"Hipsheim",401871.908766251
"18",911,5362484.07634807,"Le Hohwald",376405.516469045
"19",912,5358294.61450324,"Breitenbach",373502.128189294
"20",913,5357026.25258842,"Meisengott (Maisonsgoutte)",371353.349627379
"21",914,5356668.51403878,"St. Martin (Saint-Martin)",373267.247580914
"22",915,5357292.46861485,"Erlenbach (Albé)",375423.035551298
"23",916,5355764.08850956,"Weiler (Villé)",374233.781134156
"24",917,5355028.98468678,"Bassenberg (Bassemberg)",372937.057269327
"25",918,5355185.02240983,"Triembach (Triembach-Au-Val)",375787.537186532
"26",919,5363127.71329285,"Gertweiler (Gertwiller)",386628.460888771
"27",920,5362640.61406727,"Barr",385470.446769907
"28",921,5362640.61406727,"Barr",385470.446769907
"29",922,5362640.61406727,"Barr",385470.446769907
"30",923,5361490.65492248,"Mittelbergheim",384712.638518721
"31",924,5360156.63066553,"Eichhofen (Eichhoffen)",384697.369426211
"32",925,5360452.73893806,"Andlau",382836.22392415
"33",926,5358335.38412454,"Bernhardsweiler ( Bernardvillé)",381506.236920954
"34",927,5358253.49155019,"Reichsfeld",380479.790845048
"35",928,5361607.81002009,"Zellweiler (Zellwiller)",388812.790265051
"36",929,5359453.05462186,"Stotzheim",388070.543985255
"37",930,5359857.68925579,"St. Peter (Saint-Pierre)",386731.201813941
"38",931,5357232.68313251,"Epfig",386329.030234806
"39",932,5357232.68313251,"Epfig",386329.030234806
"40",933,5357930.59380467,"Ittersweiler (Itterswiller)",383875.595425402
"41",934,5356442.64111922,"Nothalten",382909.063636155
"42",935,5355441.81561719,"Blienschweiler (Blienschwiller)",382804.664274281
"43",936,5362906.5119719,"Uttenheim",396140.200334019
"44",937,5361302.31714272,"Westhausen (Westhouse)",395522.151140029
"45",938,5359275.48912436,"Kerzfeld (Kertzfeld)",394315.21884617
"46",939,5358673.08821328,"Benfeld",395866.338206468
"47",940,5358673.08821328,"Benfeld",395866.338206468
"48",941,5358673.08821328,"Benfeld",395866.338206468
"49",942,5359770.50947814,"Sand",397391.461122285
"50",943,5361273.13007759,"Matzenheim",398351.592488357
"51",944,5361840.69656182,"Osthausen (Osthouse)",399256.859731905
"52",945,5355739.46012966,"Herbsheim",398662.297827365
"53",946,5354677.43427758,"Roßfeld (Rossfeld)",397496.567073471
"54",947,5357067.33280952,"Hüttenheim (Huttenheim)",394672.761044706
"55",948,5355806.49042329,"Sermersheim",392711.191996993
"56",949,5354893.11860301,"Kogenheim",391975.615307425
"57",955,5355958.26367578,"Daubensand",404912.986027959
"58",956,5357059.73192978,"Obenheim",402896.038332463
"59",957,5359683.57928836,"Gerstheim",403616.354837693
"60",972,5354211.73534821,"Neukirch (Neuve-Église)",374989.145786759
"61",973,5352695.85481543,"Diefenbach (Dieffenbach-Au-Val)",376014.982229777
"62",974,5349266.54245838,"Wanzel (La Vancelle)",374036.562167936
"63",976,5353950.09079866,"St Moritz (Saint-Maurice)",376632.605089692
"64",977,5353966.36912887,"St Petersholz (Saint Pierre Bois)",378509.788637963
"65",978,5353604.49023817,"Tannweiler (Thanvillé)",377961.442912462
"66",979,5351677.78464223,"Gereut (Neubois)",376861.485102079
"67",980,5353175.93336198,"Dambach (Dambach-La-Ville)",383495.078272518
"68",981,5351936.80815235,"Diefental (Dieffenthal)",382974.193807774
"69",982,5349444.46194092,"Scherweiler (Scherwiller)",382781.924888551
"70",983,5347752.26984696,"Kestenholz (Châtenois)",381217.175862179
"71",984,5345822.97088681,"Kinzheim (Kintzheim)",380847.983253449
"72",985,5346112.02786293,"Schlettstadt (Sélestat)",385127.961560527
"73",986,5346112.02786293,"Schlettstadt (Sélestat)",385127.961560527
"74",987,5346112.02786293,"Schlettstadt (Sélestat)",385127.961560527
"75",988,5351573.88250243,"Ebersheim",388872.822507103
"76",989,5351967.75085877,"Ebersmünster (Ebersmunster)",390349.098430533
"77",990,5352102.84616287,"Witternheim",397163.862013022
"78",991,5349415.51553381,"Diebolsheim",400733.899616564
"79",992,5348766.25099954,"Bindernheim",396670.171446976
"80",993,5349585.92575057,"Hilsenheim",393757.941750212
"81",994,5347061.16826502,"Müttersholz (Muttersholtz)",391152.022282955
"82",995,5346543.68677536,"Wittisheim",395329.94845189
"83",996,5345170.28205568,"Sundhausen (Sundhouse)",396318.2988754
"84",997,5345170.28205568,"Sundhausen (Sundhouse)",396318.2988754
"85",998,5354058.72343204,"Boofzheim",402195.306418486
"86",999,5351578.35818574,"Friesenheim",401416.88752646
"87",1031,5344441.9213713,"Orschweiler (Orschwiller)",380053.329578592
"88",1032,5344441.9213713,"St. Pilt (saint-Hyppolyte)",380053.329578592
"89",1038,5342926.18098071,"Mussig",390105.061573184
"90",1039,5343724.88900793,"Baldenheim",391536.917570006
"91",1040,5342813.60404119,"Bösenbiesen (Boesenbiesen)",393341.125501481
"92",1041,5343168.45028282,"Schwobsheim",394167.839008249
"93",1042,5342274.03285647,"Richtolsheim",395643.052015197
"94",1043,5343239.47583988,"Saasenheim",397276.29689375
"95",1044,5342014.29407212,"Schönau (Schoenau)",399520.95186313
"96",1045,5340570.171391,"Artolsheim",394042.344134618
"97",1046,5340696.93292608,"Hessenheim",392377.813101991
"98",1047,5339741.10757526,"Heidolsheim",389678.748809885
"99",1048,5337805.37055967,"Ohnenheim",389045.765135626
"100",1049,5338252.8206176,"Boozheim (Bootzheim)",393757.708086994
"101",1050,5337786.73736406,"Mackenheim",393411.478944098
"102",1,5428642.20564393,"Dambach",399932.10876882
"103",2,5433923.45893055,"Wengelsbach",406198.170492712
"104",3,5432223.05943372,"Obersteinbach",404518.590226358
"105",4,5431530.52366197,"Niedersteinbach",406069.201624757
"106",5,5431020.98394624,"Wingen",413539.511341058
"107",6,5428941.03443273,"Lembach",411468.459971097
"108",7,5432216.13995718,"Weißenburg-Weiler",420533.568456218
"109",8,5432134.49785601,"Weißenburg (Wissembourg)",423411.839649651
"110",9,5431477.74977222,"Altenstadt",424685.090515333
"111",10,5430798.46510584,"Rott",420537.381795907
"112",11,5429885.85998023,"Oberhoffen-lès-Wissembourg",420910.441883933
"113",12,5429218.64348191,"Steinselz (Steinseltz)",421780.800997444
"114",13,5428149.32609079,"Kleeburg (Cleebourg)",419046.59305503
"115",14,5430096.69616865,"Klimbach (Climbach)",415947.22146561
"116",38,5421840.55618973,"Oberbronn",398081.593159655
"117",39,5422905.17877126,"Bad-Niederbronn (Niederbronn-Les-Bains)",400636.512805789
"118",40,5422905.17877126,"Niederbronn (GID von Niederbronn les bains)",400636.512805789
"119",41,5422905.17877126,"Bad-Niederbronn (Niederbronn-Les-Bains)",400636.512805789
"120",42,5420783.12239915,"Reichshofen (Reichshoffen)",402104.873174248
"121",43,5427397.00222734,"Lembach-Pfaffenbronn (Pfaffenbronn)",414494.212306172
"122",44,5426813.23353743,"Mattstall",409376.78237017
"123",45,5423347.66540873,"Lampertsloch",413408.252844195
