gid,center:Lon,center:Lat
578237,789514.9334,5707205.157
578287,789514.9334,6395919.801
578262,789514.9334,6044696.128
578337,789514.9334,7146522.141
578312,789514.9334,6762546.833
578238,789514.9334,5720459.957
578288,789514.9334,6410277.089
578263,789514.9334,6058471.118
578338,789514.9334,7162273.041
578313,789514.9334,6777558.791
578239,789514.9334,5733734.494
578289,789514.9334,6424659.204
578264,789514.9334,6072268.031
578339,789514.9334,7178055.321
578314,789514.9334,6792598.617
578240,789514.9334,5747028.722
578290,789514.9334,6439066.18
578265,789514.9334,6086087.186
578340,789514.9334,7193869.388
578315,789514.9334,6807666.296
578241,789514.9334,5760342.938
578291,789514.9334,6453497.989
578266,789514.9334,6099928.603
578341,789514.9334,7209715.313
578316,789514.9334,6822762.201
578242,789514.9334,5773677.154
578292,789514.9334,6467954.976
578267,789514.9334,6113792.244
578342,789514.9334,7225593.1
578317,789514.9334,6837886.384
578243,789514.9334,5787031.324
578293,789514.9334,6482437.175
578268,789514.9334,6127678.43
578343,789514.9334,7241503.161
578318,789514.9334,6853038.831
578244,789514.9334,5800405.747
578294,789514.9334,6496944.561
578269,789514.9334,6141587.184
578344,789514.9334,7257445.569
578319,789514.9334,6868219.919
578245,789514.9334,5813800.436
578295,789514.9334,6511477.481
578270,789514.9334,6155518.469
578345,789514.9334,7273420.332
578320,789514.9334,6883429.701
578246,789514.9334,5827215.347
578296,789514.9334,6526035.972
578271,789514.9334,6169472.607
578346,789514.9334,7289427.865
578321,789514.9334,6898668.167
578247,789514.9334,5840650.781
578297,789514.9334,6540620.009
578272,789514.9334,6183449.623
578347,789514.9334,7305468.247
578322,789514.9334,6913935.696
578248,789514.9334,5854106.752
578298,789514.9334,6555229.944
578273,789514.9334,6197449.482
578348,789514.9334,7321541.485
578323,789514.9334,6929232.346
578249,789514.9334,5867583.216
578299,789514.9334,6569865.814
578274,789514.9334,6211472.509
578349,789514.9334,7337648.002
578324,789514.9334,6944558.105
578250,789514.9334,5881080.478
578300,789514.9334,6584527.598
578275,789514.9334,6225518.73
578350,789514.9334,7353787.878
578325,789514.9334,6959913.361
578251,789514.9334,5894598.553
578301,789514.9334,6599215.649
578276,789514.9334,6239588.111
578351,789514.9334,7369961.122
578326,789514.9334,6975298.17
578252,789514.9334,5908137.398
578302,789514.9334,6613930.008
578277,789514.9334,6253680.98
578352,789514.9334,7386168.165
578327,789514.9334,6990712.525
578253,789514.9334,5921697.319
578303,789514.9334,6628670.654
578278,789514.9334,6267797.365
578353,789514.9334,7402409.087
578328,789514.9334,7006156.815
578254,789514.9334,5935278.334
578304,789514.9334,6643437.944
578279,789514.9334,6281937.232
578354,789514.9334,7418683.903
578329,789514.9334,7021631.102
578255,789514.9334,5948880.399
578305,789514.9334,6658231.921
578280,789514.9334,6296100.913
578355,789514.9334,7434993.046
578330,789514.9334,7037135.38
578256,789514.9334,5962503.825
578306,789514.9334,6673052.565
578281,789514.9334,6310288.437
578356,789514.9334,7451336.602
578331,789514.9334,7052670.042
578257,789514.9334,5976148.628
578307,789514.9334,6687900.238
578282,789514.9334,6324499.772
578357,789514.9334,7467714.587
578332,789514.9334,7068235.152
578258,789514.9334,5989814.769
578308,789514.9334,6702774.984
578283,789514.9334,6338735.253
578358,789514.9334,7484127.44
578333,789514.9334,7083830.705
578259,789514.9334,6003502.559
578309,789514.9334,6717676.785
578284,789514.9334,6352994.91
578359,789514.9334,7500575.249
578334,789514.9334,7099457.102
578260,789514.9334,6017212.016
578310,789514.9334,6732606.006
578285,789514.9334,6367278.713
578360,789514.9334,7517058.035
578335,789514.9334,7115114.407
578261,789514.9334,6030943.101
578311,789514.9334,6747562.694
578286,789514.9334,6381586.999
578361,789514.9334,7533576.241
578336,789514.9334,7130802.619
589487,2459307.309,5707205.157
589537,2459307.309,6395919.801
589512,2459307.309,6044696.128
589587,2459307.309,7146522.141
589562,2459307.309,6762546.833
589488,2459307.309,5720459.957
589538,2459307.309,6410277.089
589513,2459307.309,6058471.118
589588,2459307.309,7162273.041
589563,2459307.309,6777558.791
589489,2459307.309,5733734.494
589539,2459307.309,6424659.204
589514,2459307.309,6072268.031
589589,2459307.309,7178055.321
589564,2459307.309,6792598.617
589490,2459307.309,5747028.722
589540,2459307.309,6439066.18
589515,2459307.309,6086087.186
589590,2459307.309,7193869.388
589565,2459307.309,6807666.296
589491,2459307.309,5760342.938
589541,2459307.309,6453497.989
589516,2459307.309,6099928.603
589591,2459307.309,7209715.313
589566,2459307.309,6822762.201
589492,2459307.309,5773677.154
589542,2459307.309,6467954.976
589517,2459307.309,6113792.244
589592,2459307.309,7225593.1
589567,2459307.309,6837886.384
589493,2459307.309,5787031.324
589543,2459307.309,6482437.175
589518,2459307.309,6127678.43
589593,2459307.309,7241503.161
589568,2459307.309,6853038.831
589494,2459307.309,5800405.747
589544,2459307.309,6496944.561
589519,2459307.309,6141587.184
589594,2459307.309,7257445.569
589569,2459307.309,6868219.919
589495,2459307.309,5813800.436
589545,2459307.309,6511477.481
589520,2459307.309,6155518.469
589595,2459307.309,7273420.332
589570,2459307.309,6883429.701
589496,2459307.309,5827215.347
589546,2459307.309,6526035.972
589521,2459307.309,6169472.607
589596,2459307.309,7289427.865
589571,2459307.309,6898668.167
589497,2459307.309,5840650.781
589547,2459307.309,6540620.009
589522,2459307.309,6183449.623
589597,2459307.309,7305468.247
589572,2459307.309,6913935.696
589498,2459307.309,5854106.752
589548,2459307.309,6555229.944
589523,2459307.309,6197449.482
589598,2459307.309,7321541.485
589573,2459307.309,6929232.346
589499,2459307.309,5867583.216
589549,2459307.309,6569865.814
589524,2459307.309,6211472.509
589599,2459307.309,7337648.002
589574,2459307.309,6944558.105
589500,2459307.309,5881080.478
589550,2459307.309,6584527.598
589525,2459307.309,6225518.73
589600,2459307.309,7353787.878
589575,2459307.309,6959913.361
589501,2459307.309,5894598.553
589551,2459307.309,6599215.649
589526,2459307.309,6239588.111
589601,2459307.309,7369961.122
589576,2459307.309,6975298.17
589502,2459307.309,5908137.398
589552,2459307.309,6613930.008
589527,2459307.309,6253680.98
589602,2459307.309,7386168.165
589577,2459307.309,6990712.525
589503,2459307.309,5921697.319
589553,2459307.309,6628670.654
589528,2459307.309,6267797.365
589603,2459307.309,7402409.087
589578,2459307.309,7006156.815
589504,2459307.309,5935278.334
589554,2459307.309,6643437.944
589529,2459307.309,6281937.232
589604,2459307.309,7418683.903
589579,2459307.309,7021631.102
589505,2459307.309,5948880.399
589555,2459307.309,6658231.921
589530,2459307.309,6296100.913
589605,2459307.309,7434993.046
589580,2459307.309,7037135.38
589506,2459307.309,5962503.825
589556,2459307.309,6673052.565
589531,2459307.309,6310288.437
589606,2459307.309,7451336.602
589581,2459307.309,7052670.042
589507,2459307.309,5976148.628
589557,2459307.309,6687900.238
589532,2459307.309,6324499.772
589607,2459307.309,7467714.587
589582,2459307.309,7068235.152
589508,2459307.309,5989814.769
589558,2459307.309,6702774.984
589533,2459307.309,6338735.253
589608,2459307.309,7484127.44
589583,2459307.309,7083830.705
589509,2459307.309,6003502.559
589559,2459307.309,6717676.785
589534,2459307.309,6352994.91
589609,2459307.309,7500575.249
589584,2459307.309,7099457.102
589510,2459307.309,6017212.016
589560,2459307.309,6732606.006
589535,2459307.309,6367278.713
589610,2459307.309,7517058.035
589585,2459307.309,7115114.407
589511,2459307.309,6030943.101
589561,2459307.309,6747562.694
589536,2459307.309,6381586.999
589611,2459307.309,7533576.241
589586,2459307.309,7130802.619
589362,2440754.025,5707205.157
589412,2440754.025,6395919.801
589387,2440754.025,6044696.128
589462,2440754.025,7146522.141
589437,2440754.025,6762546.833
589363,2440754.025,5720459.957
589413,2440754.025,6410277.089
589388,2440754.025,6058471.118
589463,2440754.025,7162273.041
589438,2440754.025,6777558.791
589364,2440754.025,5733734.494
589414,2440754.025,6424659.204
589389,2440754.025,6072268.031
589464,2440754.025,7178055.321
589439,2440754.025,6792598.617
589365,2440754.025,5747028.722
589415,2440754.025,6439066.18
589390,2440754.025,6086087.186
589465,2440754.025,7193869.388
589440,2440754.025,6807666.296
589366,2440754.025,5760342.938
589416,2440754.025,6453497.989
589391,2440754.025,6099928.603
589466,2440754.025,7209715.313
589441,2440754.025,6822762.201
589367,2440754.025,5773677.154
589417,2440754.025,6467954.976
589392,2440754.025,6113792.244
589467,2440754.025,7225593.1
589442,2440754.025,6837886.384
589368,2440754.025,5787031.324
589418,2440754.025,6482437.175
589393,2440754.025,6127678.43
589468,2440754.025,7241503.161
589443,2440754.025,6853038.831
589369,2440754.025,5800405.747
589419,2440754.025,6496944.561
589394,2440754.025,6141587.184
589469,2440754.025,7257445.569
589444,2440754.025,6868219.919
589370,2440754.025,5813800.436
589420,2440754.025,6511477.481
589395,2440754.025,6155518.469
589470,2440754.025,7273420.332
589445,2440754.025,6883429.701
589371,2440754.025,5827215.347
589421,2440754.025,6526035.972
589396,2440754.025,6169472.607
589471,2440754.025,7289427.865
589446,2440754.025,6898668.167
589372,2440754.025,5840650.781
589422,2440754.025,6540620.009
589397,2440754.025,6183449.623
589472,2440754.025,7305468.247
589447,2440754.025,6913935.696
589373,2440754.025,5854106.752
589423,2440754.025,6555229.944
589398,2440754.025,6197449.482
589473,2440754.025,7321541.485
589448,2440754.025,6929232.346
589374,2440754.025,5867583.216
589424,2440754.025,6569865.814
589399,2440754.025,6211472.509
589474,2440754.025,7337648.002
589449,2440754.025,6944558.105
589375,2440754.025,5881080.478
589425,2440754.025,6584527.598
589400,2440754.025,6225518.73
589475,2440754.025,7353787.878
589450,2440754.025,6959913.361
589376,2440754.025,5894598.553
589426,2440754.025,6599215.649
589401,2440754.025,6239588.111
589476,2440754.025,7369961.122
589451,2440754.025,6975298.17
589377,2440754.025,5908137.398
589427,2440754.025,6613930.008
589402,2440754.025,6253680.98
589477,2440754.025,7386168.165
589452,2440754.025,6990712.525
589378,2440754.025,5921697.319
589428,2440754.025,6628670.654
589403,2440754.025,6267797.365
589478,2440754.025,7402409.087
589453,2440754.025,7006156.815
589379,2440754.025,5935278.334
589429,2440754.025,6643437.944
589404,2440754.025,6281937.232
589479,2440754.025,7418683.903
589454,2440754.025,7021631.102
589380,2440754.025,5948880.399
589430,2440754.025,6658231.921
589405,2440754.025,6296100.913
589480,2440754.025,7434993.046
589455,2440754.025,7037135.38
589381,2440754.025,5962503.825
589431,2440754.025,6673052.565
589406,2440754.025,6310288.437
589481,2440754.025,7451336.602
589456,2440754.025,7052670.042
589382,2440754.025,5976148.628
589432,2440754.025,6687900.238
589407,2440754.025,6324499.772
589482,2440754.025,7467714.587
589457,2440754.025,7068235.152
589383,2440754.025,5989814.769
589433,2440754.025,6702774.984
589408,2440754.025,6338735.253
589483,2440754.025,7484127.44
589458,2440754.025,7083830.705
589384,2440754.025,6003502.559
589434,2440754.025,6717676.785
589409,2440754.025,6352994.91
589484,2440754.025,7500575.249
589459,2440754.025,7099457.102
589385,2440754.025,6017212.016
589435,2440754.025,6732606.006
589410,2440754.025,6367278.713
589485,2440754.025,7517058.035
589460,2440754.025,7115114.407
589386,2440754.025,6030943.101
589436,2440754.025,6747562.694
589411,2440754.025,6381586.999
589486,2440754.025,7533576.241
589461,2440754.025,7130802.619
589237,2422200.794,5707205.157
589287,2422200.794,6395919.801
589262,2422200.794,6044696.128
589337,2422200.794,7146522.141
589312,2422200.794,6762546.833
589238,2422200.794,5720459.957
589288,2422200.794,6410277.089
589263,2422200.794,6058471.118
589338,2422200.794,7162273.041
589313,2422200.794,6777558.791
589239,2422200.794,5733734.494
589289,2422200.794,6424659.204
589264,2422200.794,6072268.031
589339,2422200.794,7178055.321
589314,2422200.794,6792598.617
589240,2422200.794,5747028.722
589290,2422200.794,6439066.18
589265,2422200.794,6086087.186
589340,2422200.794,7193869.388
589315,2422200.794,6807666.296
589241,2422200.794,5760342.938
589291,2422200.794,6453497.989
589266,2422200.794,6099928.603
589341,2422200.794,7209715.313
589316,2422200.794,6822762.201
589242,2422200.794,5773677.154
589292,2422200.794,6467954.976
589267,2422200.794,6113792.244
