"","ID","place","DWA_grid","utm_e","utm_n"
"1",355,"Betzenhausen"," 13u'",411630.047062615,5318076.4389122
"2",356,"Reute"," 13u'",412517.799440649,5326053.76665199
"3",357,"Umkirch"," 13u'",407738.15662923,5320578.92852822
"4",358,"Merdingen"," 13u'",402212.036715969,5319054.97179707
"5",359,"Neuershausen"," 13u'",408349.653875697,5324690.30229936
"6",360,"Hochdorf"," 13u'",410728.697196289,5322429.35954531
"7",361,"Holzhausen"," 13u'",410591.621929272,5324826.1252378
"8",362,"Gottenheim"," 13u'",405121.535294062,5322607.12412189
"9",363,"Hugstetten"," 13u'",409123.017332864,5323038.20759459
"10",364,"Lehen"," 13u'",410568.537739878,5318844.36801153
"11",365,"Buchheim"," 13u'",409035.83928007,5323792.22463847
"12",366,"Bötzingen"," 13u'",405103.238412468,5325691.40968897
"13",367,"Waltershofen"," 13u'",404455.111058215,5319693.17913727
"14",368,"Wasenweiler"," 13u'",401729.992780243,5322878.75434089
"15",436,"Opfingen"," 13u'",404209.975162542,5317155.82204867
"16",492,"Bettendorf"," 10z'",370425.251084569,5271480.65658156
"17",493,"Weiler (Kreis Altkirch)"," 10z'",373624.696836275,5271622.83642884
"18",547,"Heidweiler (Heidwiller)"," 10z'",367848.987048899,5279978.95139549
"19",548,"Lümschweiler (Luemschwiller) und Tagolsheim"," 10z'",371406.47572977,5279428.90891828
"20",549,"Obermorschweiler (Obermorschwiller)"," 10z'",373067.25825497,5277938.1140967
"21",550,"Walheim"," 10z'",369629.072081298,5277720.54938307
"22",551,"Aspach"," 10z'",367318.06772432,5277811.67186539
"23",552,"Karspach (Carspach)"," 10z'",365714.950686442,5274999.66703074
"24",553,"Altkirch"," 10z'",367774.260624911,5276224.60184642
"25",554,"Altkirch"," 10z'",367774.260624911,5276224.60184642
"26",555,"Wittersdorf"," 10z'",370620.9725111,5275519.12076895
"27",556,"Emlingen"," 10z'",371702.546626254,5275919.94211542
"28",557,"Tagsdorf"," 10z'",372438.558196082,5275615.80428742
"29",558,"Hausgauen"," 10z'",373966.045066999,5273737.98530149
"30",559,"Hirzbach (Hirtzbach)"," 10z'",366197.508278109,5272765.84126687
"31",560,"Hisingen (Hirsingue)"," 10z'",368781.873981655,5271764.22962314
"32",502,"Pfetterhausen (Pfetterhouse)"," 9a''",361906.308813928,5262475.89864206
"33",644,"Friesen"," 9a''",360846.025064189,5269650.84264657
"34",645,"Hindlingen"," 9a''",359914.533470417,5270569.36471441
"35",46,"Mitschdorf"," 9k'",362999.836090402,5414792.77972914
"36",77,"Zollingen"," 9k'",359051.705563588,5419287.94108979
"37",78,"Pisdorf (Bischtroff-sur-Sarre)"," 9k'",358553.885654518,5418190.52336006
"38",79,"Burbach"," 9k'",361657.06878698,5418217.13606957
"39",80,"Tal bei Drulingen (Thal-Drulingen)"," 9k'",364093.720557857,5419090.29987748
"40",81,"Berg"," 9k'",364639.468938525,5417413.137136
"41",82,"Güngweiler (Gungwiller)"," 9k'",364934.562542934,5415942.31139432
