"","ID","place","admin","utm_e","utm_n"
"1",1568,"Ebersteinburg","Baden-Baden",446289.802782799,5403254.3232244
"2",1569,"Baden-Baden/Balg","Baden-Baden",443229.186486634,5404357.34018588
"3",1570,"Haueneberstein","Baden-Baden",442870.557621026,5406210.88684548
"4",1571,"Sandweier","Baden-Baden",440958.325504566,5406485.34037568
"5",1572,"Baden-Oos","Baden-Baden",444708.599901716,5401903.4388933
"6",1575,"Baden-Baden","Baden-Baden",444217.406481238,5401358.01809473
"7",1576,"Baden-Baden","Baden-Baden",444217.406481238,5401358.01809473
"8",1577,"Baden-Baden","Baden-Baden",444217.406481238,5401358.01809473
"9",1578,"Baden-Baden-West","Baden-Baden",444217.406481238,5401358.01809473
"10",1972,"Steinbach","Baden-Baden",438255.174130814,5397607.38527119
"11",1977,"Gerolsau","Baden-Baden",444511.414498107,5398243.44705678
"12",1978,"Lichtent(h)al","Baden-Baden",445701.425234372,5399325.69890809
"13",1979,"Lichtent(h)al","Baden-Baden",445701.425234372,5399325.69890809
"14",1980,"Varnhalt","Baden-Baden",439662.734608767,5398346.91243114
"15",1981,"Neuweier","Baden-Baden",439965.345987381,5396664.9763881
"16",1962,"(Bad) Schussenried","Biberach",549082.078166023,5316965.39473375
"17",1996,"Döffingen","Böblingen",493660.874389022,5395288.94966211
"18",1997,"Sindelfingen","Böblingen",500142.724210063,5394993.01991881
"19",1907,"Echbeck/Rickertsreute/Boshasel","Bodenseekreis",524679.931232587,5300642.64562424
"20",1908,"Hattenweiler","Bodenseekreis",520620.227880363,5300728.9889867
"21",1913,"Öwingen","Bodenseekreis",512990.56194751,5295177.43271924
"22",1914,"Andelshofen","Bodenseekreis",514203.260827662,5291894.90931964
"23",1915,"Hohenbodmann","Bodenseekreis",515749.961861404,5296662.48396254
"24",1916,"Altheim","Bodenseekreis",519009.887096042,5296837.87830903
"25",1917,"Heiligenberg","Bodenseekreis",523356.907126617,5296333.63752693
"26",1918,"Leustetten","Bodenseekreis",522037.729581204,5294818.02144862
"27",1919,"Frickingen","Bodenseekreis",520256.458041002,5295243.86367301
"28",1920,"Lippertsreute","Bodenseekreis",517778.095341891,5294573.3102698
"29",1921,"Rickenbach","Bodenseekreis",519481.947493635,5293793.0100436
"30",1922,"Beuren","Bodenseekreis",524061.258585167,5294722.71272826
"31",1923,"Weildorf","Bodenseekreis",522497.156016951,5292969.24982718
"32",1924,"Salem","Bodenseekreis",521425.487418733,5291513.65984029
"33",1925,"Mimmenausen","Bodenseekreis",521373.012852677,5289692.94833558
"34",1926,"Neufrach","Bodenseekreis",523332.213471028,5289636.03646713
"35",1927,"Röhrenbach","Bodenseekreis",524308.22922964,5297425.65694777
"36",1928,"Nußdorf","Bodenseekreis",514625.226631946,5288840.66656119
"37",1929,"Betenbrunn","Bodenseekreis",525937.108885796,5296185.68916156
"38",1930,"Deggenhausen","Bodenseekreis",528784.354503915,5294301.9096026
"39",1931,"Lellwangen","Bodenseekreis",527350.509776996,5293950.41343195
